Rank,NOC,Gold,Silver,Bronze,Total
1,United States,46,37,38,121
2,Great Britain,27,23,17,67
3,China,26,18,26,70
4,Russia,19,17,20,56
5,Germany,17,10,15,42
6,Japan,12,8,21,41
7,France,10,18,14,42
8,South Korea,9,3,9,21
9,Italy,8,12,8,28
10,Australia,8,11,10,29
11,Netherlands,8,7,4,19
12,Hungary,8,3,4,15
13,Brazil*,7,6,6,19
14,Spain,7,4,6,17
15,Kenya,6,6,1,13
16,Jamaica,6,3,2,11
17,Croatia,5,3,2,10
18,Cuba,5,2,4,11
19,New Zealand,4,9,5,18
20,Canada,4,3,15,22
Totals (86 entries),Totals (86 entries),306,307,359,972
